Ion N,Azm,Elv,KE,TOF,X,Y,Z,KE
initial,initial,initial,initial,final,final,final,final,final
334,0,0.0,1416.44,0.0377112,406.7,0.0,0,519.225
335,0,0.0,2320.86,0.0187176,406.7,0.0,0,1423.65
336,0,0.0,1250.98,0.0691377,406.7,0.0,0,353.766
337,0,0.0,1594.86,0.0292825,406.7,0.0,0,697.648
338,0,0.0,2367.48,0.0183862,406.7,0.0,0,1470.27
339,0,0.0,1215.31,0.112425,406.7,0.0,0,318.096
340,0,0.0,1239.92,0.0765289,406.7,0.0,0,342.706
341,0,0.0,2266.33,0.0191304,406.7,0.0,0,1369.12
342,0,0.0,1271.67,0.0599615,406.7,0.0,0,374.457
343,0,0.0,1645.91,0.027815,406.7,0.0,0,748.7
344,0,0.0,1620.28,0.0285206,406.7,0.0,0,723.064
345,0,0.0,1201.54,0.216669,406.7,0.0,0,304.326
346,0,0.0,2158.15,0.0200434,406.7,0.0,0,1260.93
347,0,0.0,1346.82,0.044382,406.7,0.0,0,449.606
348,0,0.0,1927.02,0.0225828,406.7,0.0,0,1029.81
349,0,0.0,1783.79,0.0248066,406.7,0.0,0,886.582
350,0,0.0,1513.01,0.0322952,406.7,0.0,0,615.798
351,0,0.0,2351.92,0.0184948,406.7,0.0,0,1454.7
352,0,0.0,1779.95,0.0248766,406.7,0.0,0,882.737
353,0,0.0,1788.41,0.0247234,406.7,0.0,0,891.197
354,0,0.0,2305.11,0.0188339,406.7,0.0,0,1407.9
355,0,0.0,1469.54,0.0343912,406.7,0.0,0,572.327
356,0,0.0,1410.07,0.0381872,406.7,0.0,0,512.853
357,0,0.0,1554.21,0.0306561,406.7,0.0,0,656.998
358,0,0.0,2222.53,0.0194838,406.7,0.0,0,1325.32
359,0,0.0,1721.9,0.0260189,406.7,0.0,0,824.691
360,0,0.0,1691.43,0.0266922,406.7,0.0,0,794.221
361,0,0.0,1637.97,0.0280275,406.7,0.0,0,740.753
362,0,0.0,1458.88,0.0349792,406.7,0.0,0,561.67
363,0,0.0,2336.64,0.0186033,406.7,0.0,0,1439.43
364,0,0.0,1315.65,0.0490564,406.7,0.0,0,418.441
365,0,0.0,1840.19,0.0238485,406.7,0.0,0,942.98
366,0,0.0,1585.92,0.0295669,406.7,0.0,0,688.712
367,0,0.0,2278.63,0.0190347,406.7,0.0,0,1381.42
368,0,0.0,1347.48,0.0442986,406.7,0.0,0,450.265
369,0,0.0,2089.33,0.0207023,406.7,0.0,0,1192.12
370,0,0.0,1250.8,0.0692415,406.7,0.0,0,353.583
371,0,0.0,1308.77,0.0503365,406.7,0.0,0,411.556
